,Month,Year,Day,Predicted
513,12.0,1995.0,1,1.3704417
514,12.0,1995.0,5,1.3714867
515,12.0,1995.0,6,1.3725587
516,12.0,1995.0,7,1.373406
517,12.0,1995.0,8,1.3740852
518,12.0,1995.0,12,1.3748337
519,12.0,1995.0,13,1.3755554
520,12.0,1995.0,14,1.3765417
521,12.0,1995.0,15,1.3761325
522,12.0,1995.0,19,1.3743834
523,12.0,1995.0,20,1.3734198
524,12.0,1995.0,21,1.3730996
525,12.0,1995.0,22,1.3731016
526,12.0,1995.0,27,1.3717077
527,12.0,1995.0,28,1.368152
528,12.0,1995.0,29,1.367486
529,1.0,1996.0,3,1.3670448
530,1.0,1996.0,4,1.3655939
531,1.0,1996.0,5,1.3645757
532,1.0,1996.0,9,1.3641403
533,1.0,1996.0,10,1.3648995
534,1.0,1996.0,11,1.3663846
535,1.0,1996.0,12,1.3678329
536,1.0,1996.0,17,1.3680888
537,1.0,1996.0,18,1.3689516
538,1.0,1996.0,19,1.3683003
539,1.0,1996.0,23,1.3688973
540,1.0,1996.0,24,1.3645983
541,1.0,1996.0,25,1.3626221
542,1.0,1996.0,26,1.3605376
543,1.0,1996.0,30,1.3590381
544,1.0,1996.0,31,1.3575124
545,2.0,1996.0,1,1.3562849
546,2.0,1996.0,2,1.3552228
547,2.0,1996.0,6,1.3541341
548,2.0,1996.0,7,1.3533368
549,2.0,1996.0,8,1.3527672
550,2.0,1996.0,9,1.3525498
551,2.0,1996.0,13,1.3513525
552,2.0,1996.0,14,1.3490567
553,2.0,1996.0,15,1.3476228
554,2.0,1996.0,16,1.347008
555,2.0,1996.0,21,1.3466283
556,2.0,1996.0,22,1.345238
557,2.0,1996.0,23,1.341763
558,2.0,1996.0,27,1.3412228
559,2.0,1996.0,28,1.3407824
560,2.0,1996.0,29,1.339414
561,3.0,1996.0,1,1.3384633
562,3.0,1996.0,5,1.3382508
563,3.0,1996.0,6,1.3393526
564,3.0,1996.0,7,1.3408968
565,3.0,1996.0,8,1.3422517
566,3.0,1996.0,12,1.3426354
567,3.0,1996.0,13,1.3435122
568,3.0,1996.0,14,1.3431723
569,3.0,1996.0,15,1.3440993
570,3.0,1996.0,19,1.3387953
571,3.0,1996.0,20,1.3359286
572,3.0,1996.0,21,1.3325969
573,3.0,1996.0,22,1.3306483
574,3.0,1996.0,26,1.3284825
575,3.0,1996.0,27,1.3266766
576,3.0,1996.0,28,1.3251234
577,3.0,1996.0,29,1.3238094
578,4.0,1996.0,2,1.322557
579,4.0,1996.0,3,1.3214598
580,4.0,1996.0,4,1.3207233
581,4.0,1996.0,5,1.3191556
582,4.0,1996.0,9,1.3165196
583,4.0,1996.0,10,1.3147075
584,4.0,1996.0,11,1.3138007
585,4.0,1996.0,12,1.3130666
586,4.0,1996.0,16,1.3112576
587,4.0,1996.0,17,1.3075587
588,4.0,1996.0,18,1.3065485
589,4.0,1996.0,19,1.3054516
590,4.0,1996.0,23,1.3037132
591,4.0,1996.0,24,1.3026117
592,4.0,1996.0,25,1.3019484
593,4.0,1996.0,26,1.3024621
594,4.0,1996.0,30,1.3035476
595,5.0,1996.0,1,1.3046167
596,5.0,1996.0,2,1.3049724
597,5.0,1996.0,3,1.3057768
598,5.0,1996.0,7,1.3054006
599,5.0,1996.0,8,1.3061137
600,5.0,1996.0,9,1.3053875
601,5.0,1996.0,10,1.3065213
602,5.0,1996.0,14,1.3072232
603,5.0,1996.0,15,1.308383
604,5.0,1996.0,16,1.3088475
605,5.0,1996.0,17,1.3096755
606,5.0,1996.0,21,1.3102598
607,5.0,1996.0,22,1.3109783
608,5.0,1996.0,23,1.3114775
609,5.0,1996.0,24,1.3123586
610,5.0,1996.0,29,1.313014
