Date,Open,High,Low,Close
19951129,1.3424,1.3424,1.3368,1.3368
19951130,1.3368,1.3368,1.3267,1.3267
19951201,1.3267,1.3283,1.3267,1.3283
19951205,1.3315,1.3352,1.3315,1.3352
19951206,1.3352,1.3352,1.3295,1.3295
19951207,1.3295,1.3298,1.3295,1.3298
19951208,1.3298,1.3298,1.3267,1.3267
19951212,1.3277,1.3277,1.324,1.324
19951213,1.324,1.324,1.3229,1.3229
19951214,1.3229,1.3317,1.3229,1.3317
19951215,1.3317,1.3317,1.3301,1.3301
19951219,1.338,1.338,1.334,1.334
19951220,1.334,1.334,1.3308,1.3308
19951221,1.3308,1.3339,1.3308,1.3339
19951222,1.3339,1.3342,1.3339,1.3342
19951227,1.3392,1.3424,1.3392,1.3424
19951228,1.3424,1.3424,1.335,1.335
19951229,1.335,1.3406,1.335,1.3406
19960103,1.3409,1.3409,1.3369,1.3369
19960104,1.3369,1.3369,1.3269,1.3269
19960105,1.3269,1.337,1.3269,1.337
19960109,1.3358,1.3358,1.3355,1.3355
19960110,1.3355,1.3367,1.3355,1.3367
19960111,1.3367,1.3367,1.3366,1.3366
19960112,1.3366,1.3368,1.3366,1.3368
19960117,1.3217,1.3217,1.3153,1.3153
19960118,1.3153,1.3153,1.3116,1.3116
19960119,1.3116,1.3116,1.3043,1.3043
19960123,1.3051,1.3051,1.3011,1.3011
19960124,1.3011,1.3011,1.2988,1.2988
19960125,1.2988,1.2988,1.2955,1.2955
19960126,1.2955,1.2955,1.2909,1.2909
19960130,1.2959,1.2959,1.293,1.293
19960131,1.293,1.2959,1.293,1.2959
19960201,1.2959,1.2959,1.2939,1.2939
19960202,1.2939,1.2993,1.2939,1.2993
19960206,1.3126,1.3126,1.3087,1.3087
19960207,1.3087,1.3087,1.3042,1.3042
19960208,1.3042,1.3048,1.3042,1.3048
19960209,1.3048,1.3048,1.3027,1.3027
19960213,1.3065,1.3065,1.3036,1.3036
19960214,1.3036,1.3092,1.3036,1.3092
19960215,1.3092,1.3092,1.3068,1.3068
19960216,1.3068,1.3147,1.3068,1.3147
19960221,1.3207,1.3218,1.3207,1.3218
19960222,1.3218,1.3232,1.3218,1.3232
19960223,1.3232,1.3273,1.3232,1.3273
19960227,1.3267,1.3267,1.3258,1.3258
19960228,1.3258,1.3258,1.3152,1.3152
19960229,1.3152,1.3152,1.3106,1.3106
19960301,1.3106,1.3106,1.305,1.305
19960305,1.3057,1.3059,1.3057,1.3059
19960306,1.3059,1.3059,1.3057,1.3057
19960307,1.3057,1.3057,1.3039,1.3039
19960308,1.3039,1.3039,1.2976,1.2976
19960312,1.3021,1.3048,1.3021,1.3048
19960313,1.3048,1.3068,1.3048,1.3068
19960314,1.3068,1.3068,1.3065,1.3065
19960315,1.3065,1.3065,1.3056,1.3056
19960319,1.3058,1.3073,1.3058,1.3073
19960320,1.3073,1.3089,1.3073,1.3089
19960321,1.3089,1.3089,1.3051,1.3051
19960322,1.3051,1.3058,1.3051,1.3058
19960326,1.3046,1.3047,1.3046,1.3047
19960327,1.3047,1.3047,1.297,1.297
19960328,1.297,1.3047,1.297,1.3047
19960329,1.3047,1.3055,1.3047,1.3055
19960402,1.3014,1.3027,1.3014,1.3027
19960403,1.3027,1.3047,1.3027,1.3047
19960404,1.3047,1.3051,1.3047,1.3051
19960405,1.3051,1.3051,1.3018,1.3018
19960409,1.3072,1.3072,1.2956,1.2956
19960410,1.2956,1.2956,1.2899,1.2899
19960411,1.2899,1.2899,1.2879,1.2879
19960412,1.2879,1.2879,1.287,1.287
19960416,1.2821,1.2821,1.2815,1.2815
19960417,1.2815,1.2848,1.2815,1.2848
19960418,1.2848,1.2848,1.2838,1.2838
